decimalLatitude,decimalLongitude,eventDate,eventid,fieldnotes,footprintWKT,geodeticdatum,maximumdepthinmeters,modified,occurrenceid,parenteventid
47.31978,-59.93175,2013-08-03T17:03:18Z/2017-06-27T21:45:54Z,urn:catalog:otn:DFO-MLI:CBS:CBS185-VR4-250532-1,,POINT(-59.93175 47.31978),EPSG:4326,,2017-08-15,,
47.30732,-59.9577,2013-08-03T17:14:40Z/2017-07-13T15:13:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS182-VR4-250520-1,,POINT(-59.9577 47.30732),EPSG:4326,,2017-08-15,,
47.29051,-59.99239,2013-08-03T17:32:50Z/2017-07-13T16:02:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS178-VR4-250535-1,,POINT(-59.99239 47.29051),EPSG:4326,,2017-08-15,,
47.28209,-60.00974,2013-08-03T17:42:46Z/2017-07-13T16:24:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS176-VR4-250530-1,,POINT(-60.00974 47.28209),EPSG:4326,,2017-08-15,,
47.27805,-60.01805,2013-08-03T17:47:29Z/2017-07-13T16:36:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS175-VR4-250508-1,,POINT(-60.01805 47.27805),EPSG:4326,,2017-08-15,,
47.26131,-60.05259,2013-08-03T18:09:00Z/2017-07-13T17:54:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS171-VR4-250510-1,,POINT(-60.05259 47.26131),EPSG:4326,,2017-08-15,,
47.25707,-60.06146,2013-08-03T18:13:09Z/2017-07-13T18:17:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS170-VR4-250493-1,,POINT(-60.06146 47.25707),EPSG:4326,,2017-08-15,,
47.25307,-60.06968,,urn:catalog:otn:DFO-MLI:CBS:CBS169-VR4-250491-1,"AR did not respond, offloaded but not recovered",POINT(-60.06968 47.25307),EPSG:4326,,2017-08-15,,
47.2487,-60.07815,2013-08-03T18:22:30Z/2017-07-13T18:57:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS168-VR4-250545-1,,POINT(-60.07815 47.2487),EPSG:4326,,2017-08-15,,
47.26487,-60.0449,2014-07-11T09:53:00Z/2017-07-13T17:38:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS172-VR4-250544-2,,POINT(-60.0449 47.26487),EPSG:4326,,2017-08-15,,
47.15555,-60.2025,2014-09-26T21:17:51Z/2017-07-26T13:49:28Z,urn:catalog:otn:DFO-MLI:CBS:CBS026-VR4-250025-7,,POINT(-60.2025 47.15555),EPSG:4326,203.0,2017-08-15,,
47.16038,-60.19493,2014-09-26T21:10:11Z/2017-07-26T13:41:30Z,urn:catalog:otn:DFO-MLI:CBS:CBS027-VR4-250041-7,,POINT(-60.19493 47.16038),EPSG:4326,192.0,2017-08-15,,
47.16544,-60.18786,2014-09-26T21:03:25Z/2017-07-26T13:33:10Z,urn:catalog:otn:DFO-MLI:CBS:CBS028-VR4-250055-8,,POINT(-60.18786 47.16544),EPSG:4326,183.0,2017-08-15,,
47.3796,-60.1986,2016-05-19T16:54:51Z/2017-10-15T14:26:07Z,urn:catalog:otn:DFO-MLI:CBS:CBS-070-VR2W-106614-7,"Did not respond, may be a deckbox issue.recovered 1.3 Km southeast of station",POINT(-60.1986 47.3796),EPSG:4326,,2017-12-20,,
47.03749,-60.37837,2014-09-27T01:30:33Z/2017-10-17T12:34:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS002-VR4-250143-8,,POINT(-60.37837 47.03749),EPSG:4326,44.0,2017-12-20,,
47.04245,-60.37109,2014-09-27T01:24:57Z/2017-10-17T12:47:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS003-VR4-250175-8,,POINT(-60.37109 47.04245),EPSG:4326,99.0,2017-12-20,,
47.07677,-60.31996,2014-09-26T23:13:58Z/2017-10-17T15:03:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS010-VR4-250036-7,,POINT(-60.31996 47.07677),EPSG:4326,159.0,2017-12-20,,
47.08169,-60.31254,2014-09-26T23:07:33Z/2017-10-17T15:18:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS011-VR4-250243-7,,POINT(-60.31254 47.08169),EPSG:4326,159.0,2017-12-20,,
47.08658,-60.3051,2014-09-26T23:01:26Z/2017-10-17T15:34:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS012-VR4-250029-8,,POINT(-60.3051 47.08658),EPSG:4326,159.0,2017-12-20,,
47.11119,-60.2685,2014-09-26T22:24:37Z/2017-10-17T16:44:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS017-VR4-250062-8,,POINT(-60.2685 47.11119),EPSG:4326,179.0,2017-12-20,,
47.11615,-60.26115,2014-09-26T22:18:11Z/2017-10-17T16:53:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS018-VR4-250056-7,,POINT(-60.26115 47.11615),EPSG:4326,183.0,2017-12-20,,
47.12121,-60.25378,2014-09-26T22:10:22Z/2017-10-17T17:02:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS019-VR4-250167-7,,POINT(-60.25378 47.12121),EPSG:4326,183.0,2017-12-20,,
43.71633,-69.355,2014-06-02T17:12:00Z/2015-06-05T22:10:00Z,urn:catalog:otn:NOAA-NMFS-NEFSC:GMG:GMG-E01-VR2W-104676-1,,POINT(-69.355 43.71633),EPSG:4326,,2015-09-21,,
43.5442,-63.46672,2013-05-28T19:49:23Z/2017-02-22T13:26:00Z,urn:catalog:otn:DFO-BIO:HFX:HFX157-VR4-250421-3,,POINT(-63.46672 43.5442),EPSG:4326,153.0,2013-10-17,,
